# Hourly Data, Hourly Data
3.0204878091812133,3.0204878091812133
2.6205332279205322,2.6205332279205322
2.2524876594543457,2.2524876594543457
1.941287624835968,1.941287624835968
1.737278813123703,1.737278813123703
1.8835364818572997,1.8835364818572997
2.45740647315979,2.45740647315979
3.454531192779541,3.454531192779541
4.723287534713745,4.723287534713745
6.121081924438476,6.121081924438476
7.460300064086914,7.460300064086914
8.549307823181152,8.549307823181152
9.242974281311035,9.242974281311035
9.485775375366211,9.485775375366211
9.30672779083252,9.30672779083252
8.803525447845459,8.803525447845459
8.079701709747315,8.079701709747315
7.217939567565918,7.217939567565918
6.284160232543945,6.284160232543945
5.350408267974854,5.350408267974854
4.417989778518677,4.417989778518677
3.532405424118042,3.532405424118042
2.6999693393707274,2.6999693393707274
2.0686160922050476,2.0686160922050476
1.5740159996785223,1.5740159996785223
1.144769537448883,1.144769537448883
0.7732910692691803,0.7732910692691803
0.47789266854524615,0.47789266854524615
0.33904896676540375,0.33904896676540375
0.5104903176426887,0.5104903176426887
1.1165699183940887,1.1165699183940887
2.168512636423111,2.168512636423111
3.5612255096435548,3.5612255096435548
5.110841369628906,5.110841369628906
6.568926811218262,6.568926811218262
7.698669528961181,7.698669528961181
8.376448345184325,8.376448345184325
8.559663200378418,8.559663200378418
8.29959316253662,8.29959316253662
7.680403518676758,7.680403518676758
6.820954418182373,6.820954418182373
5.859133243560791,5.859133243560791
4.875549936294556,4.875549936294556
3.946924018859863,3.946924018859863
3.1414098501205445,3.1414098501205445
2.48401882648468,2.48401882648468
1.9810159355401993,1.9810159355401993
1.7556266576051711,1.7556266576051711
1.6729085147380829,1.6729085147380829
1.6272602260112763,1.6272602260112763
1.603694999217987,1.603694999217987
1.5990055680274964,1.5990055680274964
1.757101047039032,1.757101047039032
2.2708571635186674,2.2708571635186674
3.287046957015991,3.287046957015991
4.81259331703186,4.81259331703186
6.694151496887207,6.694151496887207
8.664728355407714,8.664728355407714
10.457059097290038,10.457059097290038
11.889724159240723,11.889724159240723
12.870232391357423,12.870232391357423
13.36374397277832,13.36374397277832
13.38465919494629,13.38465919494629
12.978109169006348,12.978109169006348
12.221011924743653,12.221011924743653
11.219684600830078,11.219684600830078
10.064789581298829,10.064789581298829
8.88654384613037,8.88654384613037
7.763281345367432,7.763281345367432
6.742140388488769,6.742140388488769
5.842655992507934,5.842655992507934
5.277219009399414,5.277219009399414
4.914530563354492,4.914530563354492
4.637476563453674,4.637476563453674
4.33679723739624,4.33679723739624
4.012893009185791,4.012893009185791
3.7897669076919556,3.7897669076919556
3.875367760658264,3.875367760658264
4.452946758270263,4.452946758270263
5.590591144561768,5.590591144561768
7.14870662689209,7.14870662689209
8.863108158111572,8.863108158111572
10.477107620239257,10.477107620239257
11.789130401611327,11.789130401611327
12.701199722290038,12.701199722290038
13.174705696105956,13.174705696105956
13.226645278930665,13.226645278930665
12.9077938079834,12.9077938079834
12.300451278686523,12.300451278686523
11.484451866149902,11.484451866149902
10.564544677734375,10.564544677734375
9.626236152648925,9.626236152648925
8.74068489074707,8.74068489074707
7.968222808837891,7.968222808837891
7.3347580909729,7.3347580909729
6.897605895996094,6.897605895996094
6.538830375671386,6.538830375671386
6.224058723449707,6.224058723449707
5.959249114990234,5.959249114990234
5.793820858001709,5.793820858001709
5.8319878578186035,5.8319878578186035
6.205873298645019,6.205873298645019
6.953010845184326,6.953010845184326
8.019567489624023,8.019567489624023
9.306231498718262,9.306231498718262
10.642322731018066,10.642322731018066
11.862103462219238,11.862103462219238
12.830965423583985,12.830965423583985
13.463400268554688,13.463400268554688
13.719161224365234,13.719161224365234
13.615652084350586,13.615652084350586
13.20799446105957,13.20799446105957
12.574270439147949,12.574270439147949
11.771940803527832,11.771940803527832
10.89921169281006,10.89921169281006
10.03791790008545,10.03791790008545
9.250484085083007,9.250484085083007
8.569290447235108,8.569290447235108
8.01667766571045,8.01667766571045
7.655268573760987,7.655268573760987
7.385869407653809,7.385869407653809
7.163349342346192,7.163349342346192
6.985334205627441,6.985334205627441
6.924363327026367,6.924363327026367
7.061699771881104,7.061699771881104
7.491934299468994,7.491934299468994
8.281137943267822,8.281137943267822
9.416714668273926,9.416714668273926
10.771963500976563,10.771963500976563
12.133421516418457,12.133421516418457
13.346211624145507,13.346211624145507
14.269498252868653,14.269498252868653
14.82246150970459,14.82246150970459
14.982478904724122,14.982478904724122
14.785063934326171,14.785063934326171
14.297141838073731,14.297141838073731
13.597612953186035,13.597612953186035
12.765015602111816,12.765015602111816
11.878710746765137,11.878710746765137
11.010746574401855,11.010746574401855
10.186228561401368,10.186228561401368
9.448722648620606,9.448722648620606
8.827494144439697,8.827494144439697
8.414666557312012,8.414666557312012
8.144195365905762,8.144195365905762
7.945595836639404,7.945595836639404
7.790208244323731,7.790208244323731
7.722510623931885,7.722510623931885
7.820206356048584,7.820206356048584
8.157842636108398,8.157842636108398
8.798589038848878,8.798589038848878
9.767823600769043,9.767823600769043
10.968081855773926,10.968081855773926
12.259443855285644,12.259443855285644
13.463274383544922,13.463274383544922
14.373262977600097,14.373262977600097
14.896516799926758,14.896516799926758
15.024709701538086,15.024709701538086
14.816814041137695,14.816814041137695
14.342946434020996,14.342946434020996
13.68171329498291,13.68171329498291
12.903467750549316,12.903467750549316
12.061166381835937,12.061166381835937
11.232287788391114,11.232287788391114
10.449756622314453,10.449756622314453
9.69947624206543,9.69947624206543
8.973416614532471,8.973416614532471
8.447840976715089,8.447840976715089
8.039321327209473,8.039321327209473
7.662171840667725,7.662171840667725
7.267192554473877,7.267192554473877
