"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Max. (°C)","Air Temp. Avg. (°C)","Humidity Min. (%)","Humidity Max. (%)","Humidity Avg. (%)","Precip. Accumulated (mm)","Precip. (mm)","Wind Speed 2 m Avg. (km/h)","Wind Speed 10 m Avg. (km/h)"
"Blackie AGCM","28-May-2016","-0.691","17.790","9.871","22.820","95.900","55.952","0.000","0.000","7.877","9.071"
"Blackie AGCM","29-May-2016","3.372","19.720","12.798","23.980","86.400","44.933","1.300","1.300","13.872","16.363"
"Blackie AGCM","30-May-2016","4.006","15.590","9.366","34.110","88.800","67.251","10.700","9.400","24.737","29.741"
"Blackie AGCM","31-May-2016","2.032","18.620","11.325","27.020","92.700","56.793","10.700","0.000","9.128","10.767"
"Blackie AGCM","01-June-2016","1.736","22.770","14.074","25.830","90.600","52.258","10.700","0.000","10.348","12.171"
"Blackie AGCM","02-June-2016","7.745","23.010","15.728","23.690","82.800","48.294","10.700","0.000","14.015","17.877"
"Blackie AGCM","03-June-2016","1.319","25.110","15.621","17.700","87.300","45.058","10.700","0.000","8.027","9.151"
"Blackie AGCM","04-June-2016","5.817","28.320","19.077","18.250","71.790","39.016","10.700","0.000","8.521","9.697"
"Blackie AGCM","05-June-2016","7.892","25.840","17.889","25.220","87.300","48.076","10.700","0.000","11.296","13.461"
"Blackie AGCM","06-June-2016","9.720","31.850","20.905","20.670","80.400","47.702","10.700","0.000","18.139","22.526"
"Blackie AGCM","07-June-2016","10.010","32.050","22.432","17.350","79.710","46.695","10.700","0.000","12.232","14.574"
"Blackie AGCM","08-June-2016","10.980","28.180","19.699","24.680","88.600","54.276","10.700","0.000","14.344","17.504"
"Blackie AGCM","09-June-2016","8.670","23.220","17.819","22.010","76.350","39.087","10.700","0.000","16.291","20.835"
"Blackie AGCM","10-June-2016","5.347","17.300","11.820","58.820","92.700","74.504","15.100","4.400","9.661","11.363"
"Blackie AGCM","11-June-2016","6.884","18.210","13.640","23.230","94.900","54.929","19.600","4.500","15.447","18.037"
"Blackie AGCM","12-June-2016","4.170","21.930","13.871","24.230","67.470","41.351","19.600","0.000","13.209","16.712"
"Blackie AGCM","13-June-2016","1.452","22.140","13.263","23.210","87.900","48.246","19.600","0.000","11.143","12.611"
"Blackie AGCM","14-June-2016","3.387","17.520","12.747","21.380","64.210","39.202","19.700","0.100","18.173","20.787"
"Blackie AGCM","15-June-2016","2.132","17.560","10.977","15.960","53.810","30.692","19.700","0.000","15.941","18.568"
"Blackie AGCM","16-June-2016","1.080","17.140","9.458","22.500","67.400","46.465","19.700","0.000","11.999","14.709"
"Blackie AGCM","17-June-2016","4.762","20.760","13.745","12.620","58.410","31.875","19.700","0.000","10.844","12.440"
"Blackie AGCM","18-June-2016","-1.188","20.710","12.584","22.080","75.260","48.899","19.700","0.000","8.940","10.810"
"Blackie AGCM","19-June-2016","8.290","22.450","14.670","25.460","84.800","54.765","21.100","1.400","12.542","14.998"
"Blackie AGCM","20-June-2016","5.548","24.850","15.453","18.270","83.300","50.082","21.100","0.000","7.313","9.316"
"Blackie AGCM","21-June-2016","3.102","22.520","13.390","29.630","90.400","63.435","23.200","2.100","8.623","10.726"
"Blackie AGCM","22-June-2016","3.145","24.800","15.106","26.330","92.900","59.363","23.200","0.000","7.090","8.413"
"Blackie AGCM","23-June-2016","5.755","25.770","15.837","25.970","88.500","57.876","23.200","0.000","9.934","12.728"
"Blackie AGCM","24-June-2016","3.857","20.990","12.755","33.880","90.900","62.700","25.900","2.700","10.617","12.610"
"Blackie AGCM","25-June-2016","8.690","20.380","14.043","46.640","92.500","74.661","38.800","12.900","14.249","18.144"
"Blackie AGCM","26-June-2016","9.870","21.750","15.066","40.690","86.700","69.090","39.100","0.300","9.443","12.087"
"Blackie AGCM","27-June-2016","4.742","25.280","16.098","32.620","94.500","64.707","39.100","0.000","8.841","10.686"
"Blackie AGCM","28-June-2016","6.045","24.990","15.218","44.630","92.500","73.711","57.300","18.200","9.085","11.602"
"Blackie AGCM","29-June-2016","7.474","25.950","17.542","34.020","95.100","67.595","57.300","0.000","7.434","8.773"
"Blackie AGCM","30-June-2016","12.260","23.930","17.039","45.160","92.000","78.082","65.000","7.700","12.101","14.879"
"Blackie AGCM","01-July-2016","10.200","24.110","17.362","54.020","94.000","76.760","65.000","0.000","7.542","8.499"
"Blackie AGCM","02-July-2016","12.140","23.750","17.798","50.210","94.700","74.920","65.400","0.400","9.870","12.001"
